Displaying 10 item(s) at 2026-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visit,Vessel Name,Line,Vessel Class,I/B Vyg,O/B Vyg,Phase,Est. Time of Berth,ETD,ETA,ATA,ATD,ATB,Service,Vessel Loa M,BEAM M,Berthside,Bollard Fore,Bollard Fore offset,Bollard Aft,Bollard Aft offset,Draft Forward,Draft Aft,Est Disch,Previous Port,Next Port,EST Loading,Additional Moves,Total Moves,vessel berth,Bollard Fore Meter,Bollard Aft Meter,"LOA Check (Fore-Aft, m)"
TSSNTSGP2606W,TS SINGAPORE,TSL,TSSN,TSGP2606W,TSGP2606W,Inbound,02-09-2026 0800,03-09-2026 1900,30-08-2026 1900,,,,ADHOC,260,32,Starboardside,1R19,6,1R2,1,,,,,JIB,,,,R1,291,31,0
DANIIRS03W26,DANIEL A,ARL,DANI,IRS03W26,IRS03W26,Inbound,03-09-2026 0200,04-09-2026 0500,03-09-2026 0001,,,,TRI-NB,155,24.5,Portside,4R12,4,4R23,-6,,,500,AQJ,NSA,657,,1157,R4,1044,1199,0
SIMOIS636E,MSC SIMONA,MSC,SIMO,IS634R,IS634R,Inbound,03-09-2026 1600,05-09-2026 1900,03-09-2026 1400,,,,ADHOC,366,51,Starboardside,3R65,0,2R37,-2,16.6,16.6,2136,AKI,JIB,2898,,5034,R3,850,484,0
CCPE0MXOYE1MA,CMA CGM PELLEAS,CMA,CCPE,0MXOYE1MA,0MXOYE1MA,Inbound,04-09-2026 0900,05-09-2026 1400,04-09-2026 0700,,,,MEDEX-E,350,42,Portside,4R6,-4,4R29,2,,,1129,,PIR,1200,,2329,R4,946,1297,1
KHDZKDHZ2636W,KAI DA HONG ZHOU,CUL,KHDZ,KDHZ2636W,KDHZ2636W,Inbound,04-09-2026 1300,06-09-2026 0300,04-09-2026 1100,,,,ADHOC,149,24,Starboardside,5B31,-1,5B21,1,,,589,,JIB,620,,1209,B5,1827,1679,-1
CMAPPHXSSSE19,CMA CGM MAPUTO,CMA,CMAP,PHXSSSE19,PHXSSSE19,Inbound,04-09-2026 2100,06-09-2026 0700,04-09-2026 1900,,,,MED5,175,27,Starboardside,1R17,-7,1R5,-2,,,394,,SHK,1375,,1769,R1,248,73,0
APOLRX2030E19,CMA CGM APOLLON,CMA,APOL,RX2030E19,RX2030E19,Working,02-09-2026 1800,09-09-2026 1210,28-08-2026 2300,05-09-2026 2000,,31-08-2026 0320,RES2EB,366,,Starboardside,3R65,0,2R37,-2,14.2,14.2,2888,JIB,SOK,1586,,4474,R3,850,484,0
CHMNCUHM2635W,CUL HUMEN,CUL,CHMN,CUHM2635W,CUHM2635W,Working,01-09-2026 1000,07-09-2026 0728,01-09-2026 0300,05-09-2026 1500,,01-09-2026 1000,REX-2,184,,Portside,4R11,5,4R24,-7,9.1,9.5,746,PKG,SOK,642,,1388,R4,1030,1213,-1
